ID;Title;Main Question
RQ01;Business Model Identification and Taxonomy;What business models have been identified in the literature for software product monetization, and how are they defined, classified, and differentiated from each other?
RQ02;Application Context and Market Segmentation;In which application contexts (vertical segments, customer types, geographies, and company sizes) have different software business models been implemented, and what segmentation patterns emerge from this distribution?
RQ03;Technical and Architectural Characteristics;What are the technical, architectural, and delivery characteristics that distinguish different software business models, and how do these characteristics influence monetization?
RQ04;Monetization and Pricing Strategies;What are the monetization and pricing strategies used in different software business models, and how do these strategies relate to the characteristics of the model and the market?
RQ05;Ecosystem Dynamics and Go-to-Market;What are the ecosystem dynamics (roles, relationships, network effects) and go-to-market strategies (acquisition channels, marketplaces) associated with different software business models?
RQ06;Motivations, Success Factors, and Adoption Conditions;What are the motivations for adoption, the factors that contribute to success, and the necessary conditions (prerequisites) for successful implementation of different software business models?
RQ07;Implementation Challenges and Mitigation;What are the main challenges faced in implementing different software business models, and what effective practices have been used to mitigate these challenges?
RQ08;Temporal Evolution and Future Trends;What is the temporal evolution and maturity of the different software business models identified in the literature, and what are the future trends and projected evolution directions?
RQ09;Business Model Canvas Elements;What are the distinctive characteristics and constituent elements (Business Model Canvas) of each identified software business model, and how do these elements relate to each other to create value?
RQ10;Empirical Evidence and Methodologies;What types of empirical evidence and research methodologies have been used to study software business models, and what are the patterns of available evidence for each model?
